Provincia;Concello;Parroquia;Lugar;
LUGO;ABADÍN;Abadín (Santa María);Abadín;
LUGO;ABADÍN;Abadín (Santa María);Carballás, Os;
LUGO;ABADÍN;Abadín (Santa María);Convento, O;
LUGO;ABADÍN;Abadín (Santa María);Correo, O;
LUGO;ABADÍN;Abadín (Santa María);Fernandaño;
LUGO;ABADÍN;Abadín (Santa María);Gontán;
LUGO;ABADÍN;Abadín (Santa María);Pedralba;
LUGO;ABADÍN;Abadín (Santa María);Pedreiras;
LUGO;ABADÍN;Abadín (Santa María);Poceira, A;
LUGO;ABADÍN;Abadín (Santa María);Provecende;
LUGO;ABADÍN;Abadín (Santa María);Torre, A;
LUGO;ABADÍN;Abeledo (Santa María);Abeledo de Abaixo;
LUGO;ABADÍN;Abeledo (Santa María);Abeledo de Arriba;
LUGO;ABADÍN;Abeledo (Santa María);Cabo de Vila;
LUGO;ABADÍN;Abeledo (Santa María);Campo, O;
LUGO;ABADÍN;Abeledo (Santa María);Carballo, O;
LUGO;ABADÍN;Abeledo (Santa María);Carboeiro, O;
LUGO;ABADÍN;Abeledo (Santa María);Caxigos, Os;
LUGO;ABADÍN;Abeledo (Santa María);Coroza, A;
LUGO;ABADÍN;Abeledo (Santa María);Coto, O;
LUGO;ABADÍN;Abeledo (Santa María);Fervoira, A;
LUGO;ABADÍN;Abeledo (Santa María);Foxacos;
LUGO;ABADÍN;Abeledo (Santa María);Outeiro, O;
LUGO;ABADÍN;Abeledo (Santa María);Pasandellos, Os;
LUGO;ABADÍN;Abeledo (Santa María);Reboira, A;
LUGO;ABADÍN;Abeledo (Santa María);Regas, As;
LUGO;ABADÍN;Abeledo (Santa María);Sabugos;
LUGO;ABADÍN;Abeledo (Santa María);Torre, A;
LUGO;ABADÍN;Abeledo (Santa María);Touceiras;
LUGO;ABADÍN;Abeledo (Santa María);Toxeiro;
LUGO;ABADÍN;Abeledo (Santa María);Trasón;
LUGO;ABADÍN;Abeledo (Santa María);Valiña, A;
LUGO;ABADÍN;Abeledo (Santa María);Vesada, A;
LUGO;ABADÍN;Aldixe (San Pedro);Batán;
LUGO;ABADÍN;Aldixe (San Pedro);Campo, O;
LUGO;ABADÍN;Aldixe (San Pedro);Carboeiro;
LUGO;ABADÍN;Aldixe (San Pedro);Casadán;
LUGO;ABADÍN;Aldixe (San Pedro);Casarón, O;
LUGO;ABADÍN;Aldixe (San Pedro);Costa, A;
LUGO;ABADÍN;Aldixe (San Pedro);Cotillón;
LUGO;ABADÍN;Aldixe (San Pedro);Espiño, O;
LUGO;ABADÍN;Aldixe (San Pedro);Lavandeira, A;
LUGO;ABADÍN;Aldixe (San Pedro);Liñares;
LUGO;ABADÍN;Aldixe (San Pedro);Mudia, A;
LUGO;ABADÍN;Aldixe (San Pedro);Pena;
LUGO;ABADÍN;Aldixe (San Pedro);Petaíño, O;
LUGO;ABADÍN;Aldixe (San Pedro);Ponte, A;
LUGO;ABADÍN;Aldixe (San Pedro);Ventoso;
LUGO;ABADÍN;Aldixe (San Pedro);Verdes, Os;
LUGO;ABADÍN;Baroncelle (Santiago);Abelleira, A;
LUGO;ABADÍN;Baroncelle (Santiago);Asperón, O;
LUGO;ABADÍN;Baroncelle (Santiago);Augalevada;
LUGO;ABADÍN;Baroncelle (Santiago);Barreiros, Os;
LUGO;ABADÍN;Baroncelle (Santiago);Casavella, A;
LUGO;ABADÍN;Baroncelle (Santiago);Caseiros, Os;
